player_id,first_seen,last_seen,total_sessions,total_playtime_hours,avg_session_duration_minutes,total_revenue_usd,total_events,age,gender,location,game_genre,game_difficulty,play_time_hours_per_week,in_game_purchases,sessions_per_week,player_level,achievements_unlocked,engagement_level
P0000083,2025-11-26,2026-08-21,230,288.0,75.13,11.26,6480,25,Male,Oceania,Action,Easy,7.51,3,6,55,37,Low
P0000084,2026-04-10,2026-09-04,272,565.22,124.68,57.2,7380,25,Female,Asia,Strategy,Medium,31.17,10,15,64,26,High
P0000085,2025-12-19,2026-09-05,422,651.36,92.61,116.29,7660,17,Prefer not to say,Asia,Puzzle,Hard,21.61,10,14,68,54,High
P0000086,2025-01-22,2026-08-17,895,1447.07,97.01,309.24,8125,32,Male,North America,Simulation,Easy,21.02,21,13,82,49,High
P0000087,2023-10-25,2026-08-29,2277,3173.0,83.61,759.4,57041,24,Female,Europe,RPG,Easy,19.51,76,14,88,40,High
P0000088,2026-04-16,2026-09-09,55,19.32,21.08,0.0,405,28,Female,Oceania,Adventure,Medium,1.05,0,3,44,20,Low
P0000089,2025-10-02,2026-09-07,657,733.1,66.95,132.03,5339,32,Male,Asia,Action,Hard,13.39,24,12,75,59,Medium
P0000090,2026-06-07,2026-08-14,161,284.84,106.15,28.62,2136,32,Female,Europe,Action,Medium,24.77,7,14,64,36,Medium
P0000091,2025-05-07,2026-08-25,1014,1710.79,101.23,154.57,8204,34,Male,Oceania,Action,Medium,26.99,38,16,84,54,High
P0000092,2023-11-07,2026-08-31,2489,4681.81,112.86,642.42,39965,27,Male,South America,Strategy,Easy,30.1,112,16,100,29,High
P0000093,2026-07-03,2026-09-07,96,106.61,66.63,7.23,792,24,Male,North America,Simulation,Medium,12.22,3,11,44,21,Medium
P0000094,2024-11-25,2026-09-08,1626,2659.86,98.15,212.88,11519,27,Male,Asia,RPG,Medium,26.17,64,16,91,73,High
P0000095,2026-03-13,2026-09-10,253,342.06,81.12,49.19,6632,13,Male,South America,RPG,Easy,14.87,6,11,61,48,Medium
P0000096,2026-08-21,2026-09-02,18,15.63,52.11,12.21,250,15,Female,South America,Adventure,Medium,8.68,1,10,34,15,Low
P0000097,2025-01-22,2026-09-05,1355,1508.57,66.8,160.03,20439,16,Male,North America,Strategy,Medium,15.59,48,14,80,66,Medium
P0000098,2025-04-07,2026-09-08,1249,1722.79,82.76,73.35,8825,19,Female,North America,Action,Medium,22.07,31,16,83,51,Medium
P0000099,2023-12-27,2026-08-21,1380,1916.13,83.31,128.81,13872,32,Female,Europe,RPG,Hard,16.66,42,12,87,30,Medium
P0000100,2025-10-21,2026-09-07,574,1052.24,109.99,166.55,13277,20,Male,Europe,Simulation,Hard,27.5,27,15,82,48,High
P0000101,2024-10-10,2026-08-29,941,1142.53,72.85,83.39,10421,25,Male,North America,RPG,Medium,9.71,11,8,81,59,Medium
P0000102,2026-03-14,2026-09-06,383,903.75,141.58,305.51,10412,40,Non-binary,Asia,Puzzle,Hard,37.75,16,16,77,55,High
P0000103,2024-12-09,2026-09-09,1047,1222.9,70.08,156.46,15770,25,Female,Asia,Adventure,Hard,15.18,30,13,82,35,Medium
P0000104,2024-03-24,2026-09-10,633,228.51,21.66,20.72,7003,35,Female,North America,Adventure,Medium,1.8,12,5,61,28,Low
P0000105,2025-07-06,2026-08-31,343,265.02,46.36,57.77,3477,20,Male,Asia,Simulation,Hard,4.64,5,6,65,42,Low
P0000106,2026-03-14,2026-09-06,269,201.71,44.99,94.16,1663,26,Female,North America,Sports,Easy,7.5,10,10,65,39,Medium
P0000107,2025-02-27,2026-08-25,546,91.55,10.06,48.17,15874,19,Female,Europe,Adventure,Hard,1.17,7,7,60,33,Low
P0000108,2026-03-01,2026-08-30,275,390.13,85.12,40.97,2781,25,Prefer not to say,South America,Sports,Medium,14.19,7,10,73,24,Medium
P0000109,2024-09-27,2026-09-07,1509,1529.87,60.83,552.55,42352,36,Male,Oceania,RPG,Easy,13.18,34,13,89,66,Medium
P0000110,2025-12-19,2026-09-10,526,850.98,97.07,138.57,3223,13,Non-binary,North America,Action,Medium,22.65,16,14,71,51,Medium
P0000111,2024-09-12,2026-09-10,1800,2331.9,77.73,250.1,30709,32,Male,South America,Adventure,Easy,20.73,62,16,91,47,High
P0000112,2024-07-18,2026-09-06,1549,2712.04,105.05,232.3,9417,30,Female,Oceania,RPG,Easy,24.51,64,14,89,59,Medium
P0000113,2023-09-11,2026-09-07,3367,6925.36,123.41,870.72,97833,23,Female,Asia,Adventure,Medium,39.08,141,19,94,49,High
P0000114,2026-02-02,2026-08-25,200,277.0,83.1,60.09,3445,15,Female,Middle East,Puzzle,Easy,9.69,6,7,60,39,Low
P0000115,2023-11-24,2026-09-10,1998,3389.27,101.78,170.35,32115,29,Male,North America,RPG,Hard,25.44,70,15,96,77,High
P0000116,2025-09-14,2026-08-31,764,965.7,75.84,42.25,16089,23,Female,North America,Strategy,Hard,16.43,22,13,82,23,Medium
P0000117,2026-03-13,2026-09-02,224,284.7,76.26,17.56,5856,30,Male,South America,Action,Medium,11.44,5,9,58,27,Low
P0000118,2023-12-25,2026-08-11,3281,4758.0,87.01,183.04,95316,28,Female,Asia,RPG,Medium,31.9,125,22,94,42,High
P0000119,2024-12-18,2026-09-08,1345,1311.6,58.51,108.01,29654,42,Female,Europe,Sports,Medium,13.65,38,14,73,26,Medium
P0000120,2024-12-24,2026-09-06,861,506.41,35.29,505.75,25017,26,Female,North America,Strategy,Easy,5.29,25,9,68,23,Low
P0000121,2025-10-05,2026-09-03,842,1305.24,93.01,266.97,16068,19,Male,North America,RPG,Medium,32.55,32,21,76,38,High
P0000122,2026-02-21,2026-09-09,386,370.88,57.65,138.94,6235,30,Female,North America,RPG,Medium,13.45,15,14,66,44,Medium
P0000123,2026-06-22,2026-09-05,166,244.71,88.45,24.08,4037,30,Female,North America,Strategy,Medium,19.16,4,13,65,49,Medium
P0000124,2024-02-09,2026-08-16,2235,2407.84,64.64,310.67,56030,40,Female,Middle East,Action,Easy,18.31,84,17,83,71,High
P0000125,2026-08-05,2026-09-01,37,45.26,73.4,0.0,528,36,Female,Europe,Action,Hard,13.46,0,11,38,10,Medium
P0000126,2025-02-19,2026-09-02,809,936.69,69.47,25.82,7325,31,Female,South America,Adventure,Easy,12.74,14,11,76,30,Medium
P0000127,2025-11-12,2026-07-23,91,55.37,36.51,10.54,1481,41,Female,North America,Strategy,Medium,1.83,1,3,45,24,Low
P0000128,2024-03-08,2026-09-08,1010,459.55,27.3,90.49,13172,17,Female,Europe,Action,Medium,3.64,18,8,62,24,Low
P0000129,2024-07-28,2026-09-10,952,1321.85,83.31,80.32,7677,22,Male,Oceania,RPG,Medium,13.88,21,10,83,40,Medium
P0000130,2026-06-03,2026-09-01,162,187.81,69.56,16.07,4733,20,Female,North America,Sports,Hard,12.75,4,11,54,31,Medium
P0000131,2026-04-11,2026-09-01,300,423.65,84.73,146.73,6337,24,Male,Europe,Simulation,Easy,21.18,10,15,74,27,Medium
P0000132,2026-03-05,2026-08-17,655,1080.42,98.97,76.84,17744,16,Male,South America,RPG,Easy,39.59,33,24,82,26,High
P0000133,2024-07-17,2026-09-08,1670,2787.23,100.14,491.17,43551,34,Female,North America,Sports,Easy,23.37,69,14,95,62,High
P0000134,2026-05-20,2026-09-01,150,148.98,59.59,16.53,1399,26,Male,North America,Simulation,Medium,9.93,4,10,55,45,Medium
P0000135,2025-12-17,2026-08-29,338,449.82,79.85,58.87,3758,15,Female,Middle East,Adventure,Medium,14.64,7,11,76,33,Medium
P0000136,2025-03-25,2026-09-10,874,779.32,53.5,110.01,20152,19,Prefer not to say,Europe,Sports,Hard,11.59,26,13,77,24,Medium
P0000137,2026-02-08,2026-08-29,87,35.52,24.5,0.0,2041,31,Male,Asia,Simulation,Hard,1.23,0,3,45,40,Low
P0000138,2025-07-04,2026-09-05,745,1165.06,93.83,322.75,16459,36,Male,North America,Action,Easy,20.33,28,13,84,41,Medium
P0000139,2025-10-03,2026-08-27,1053,1488.94,84.84,139.99,27487,46,Male,North America,RPG,Hard,28.28,38,20,85,71,High
P0000140,2025-06-03,2026-09-05,478,262.18,32.91,68.72,13423,54,Male,Europe,Adventure,Hard,3.84,7,7,57,32,Low
P0000141,2026-07-28,2026-09-06,77,102.56,79.92,33.85,1188,32,Female,Asia,Action,Medium,18.65,4,14,50,29,Medium
P0000142,2025-07-27,2026-08-20,220,161.41,44.02,29.18,4227,19,Female,Europe,Strategy,Medium,2.93,2,4,58,45,Low
P0000143,2025-01-24,2026-09-07,641,779.14,72.93,47.98,5836,13,Female,Oceania,Sports,Medium,9.72,12,8,70,55,Low
P0000144,2025-05-26,2026-09-09,959,1795.89,112.36,161.59,19228,30,Male,South America,Adventure,Medium,26.22,28,14,86,20,High
P0000145,2023-11-13,2026-09-10,1351,1858.53,82.54,66.37,40622,21,Female,Asia,Action,Medium,15.13,32,11,80,60,Medium
P0000146,2025-07-11,2026-09-09,484,713.9,88.5,28.24,4902,24,Male,Europe,Adventure,Easy,11.8,7,8,76,55,Medium
P0000147,2025-10-02,2026-08-01,485,821.51,101.63,48.34,2992,22,Female,Asia,Action,Medium,20.33,13,12,81,69,Medium
P0000148,2026-03-08,2026-09-05,524,881.37,100.92,43.76,14247,27,Female,Asia,Adventure,Medium,30.28,23,18,86,76,High
P0000149,2024-11-01,2026-09-04,721,670.65,55.81,78.94,17363,38,Male,North America,Adventure,Easy,7.44,18,8,72,41,Low
P0000150,2024-12-20,2026-08-30,1166,1812.16,93.25,110.93,33882,29,Female,South America,Simulation,Hard,18.65,35,12,85,33,Medium
P0000151,2026-07-02,2026-09-06,151,284.51,113.05,38.94,1410,27,Female,Asia,Puzzle,Easy,35.8,7,19,62,44,High
P0000152,2024-01-30,2026-08-25,1883,1879.86,59.9,414.29,17037,19,Male,Africa,Puzzle,Medium,11.98,51,12,88,39,Medium
P0000153,2023-10-04,2026-08-25,1187,1412.33,71.39,222.96,26164,13,Female,Africa,Puzzle,Medium,9.52,26,8,81,24,Medium
P0000154,2023-09-17,2026-09-08,597,531.93,53.46,6.67,14973,24,Female,North America,RPG,Medium,3.56,1,4,68,47,Low
P0000155,2024-05-08,2026-09-10,2269,4635.19,122.57,731.19,16031,28,Male,Europe,RPG,Easy,36.77,94,18,100,54,High
P0000156,2026-04-23,2026-09-10,250,445.75,106.98,51.43,6317,44,Male,Asia,Action,Medium,23.18,8,13,73,59,High
P0000157,2024-01-01,2026-08-27,1650,2413.68,87.77,87.75,41339,29,Female,Asia,Action,Medium,19.02,46,13,80,43,Medium
P0000158,2025-06-09,2026-09-02,742,868.39,70.22,156.48,22334,37,Non-binary,South America,Sports,Easy,16.38,27,14,73,47,Medium
P0000159,2024-02-05,2026-08-27,1951,3743.64,115.13,544.97,29382,24,Female,North America,Action,Easy,28.78,84,15,93,33,High
P0000160,2025-12-10,2026-09-05,179,112.68,37.77,0.0,2708,17,Female,Asia,Puzzle,Medium,3.15,0,5,55,23,Low
P0000161,2024-08-15,2026-09-03,828,583.88,42.31,227.24,5864,19,Female,Africa,Action,Medium,4.94,20,7,63,48,Low
P0000162,2024-12-22,2026-08-26,659,661.97,60.27,65.29,19841,21,Male,Middle East,Action,Easy,9.04,13,9,72,58,Medium
P0000163,2025-04-18,2026-09-01,938,1455.31,93.09,282.47,28249,47,Male,North America,Strategy,Medium,24.82,37,16,89,72,Medium
P0000164,2025-08-03,2026-08-30,1217,2378.63,117.27,504.02,11054,21,Male,Middle East,Action,Medium,43.0,47,22,91,54,High
P0000165,2026-07-01,2026-09-09,43,39.06,54.5,0.0,300,36,Female,North America,Action,Hard,3.63,0,4,46,42,Low
P0000166,2024-01-21,2026-09-07,1417,1380.16,58.44,569.2,38341,20,Female,Asia,Sports,Medium,10.71,40,11,70,42,Medium
P0000167,2024-07-06,2026-09-10,790,1222.0,92.81,88.54,22154,36,Female,North America,Strategy,Easy,9.28,15,6,70,19,Low
P0000168,2023-11-20,2026-09-09,1094,1496.23,82.06,137.27,24157,31,Male,Asia,Adventure,Medium,10.94,32,8,81,57,Medium
P0000169,2025-02-14,2026-09-07,1091,1614.13,88.77,194.9,9881,27,Female,North America,RPG,Easy,20.71,35,14,78,27,Medium
P0000170,2025-09-10,2026-09-06,634,767.99,72.68,52.34,8902,28,Female,North America,Simulation,Medium,15.75,12,13,72,14,Medium
P0000171,2024-10-30,2026-09-09,1419,1873.79,79.23,387.4,18519,22,Male,Europe,Simulation,Medium,21.13,53,16,81,19,Medium
P0000172,2025-08-07,2026-08-29,240,268.64,67.16,44.16,5304,32,Male,Africa,Action,Hard,4.48,4,4,63,20,Low
P0000173,2023-11-15,2026-09-05,2251,2709.08,72.21,849.42,22659,24,Female,Asia,Action,Medium,15.65,77,13,86,72,Medium
P0000174,2025-01-26,2026-08-24,560,589.96,63.21,13.71,3421,17,Female,Asia,Adventure,Hard,6.32,7,6,79,54,Low
P0000175,2024-08-24,2026-09-07,520,516.62,59.61,166.34,11484,16,Female,Asia,Simulation,Medium,4.97,12,5,57,32,Low
P0000176,2024-10-09,2026-09-01,1372,1361.48,59.54,329.11,33022,30,Male,Europe,Action,Medium,14.88,36,15,83,58,Medium
P0000177,2025-07-03,2026-09-10,631,672.23,63.92,41.22,12026,42,Female,North America,Sports,Easy,9.59,11,9,72,26,Medium
P0000178,2024-06-04,2026-09-09,1019,780.72,45.97,48.21,11295,29,Male,North America,Strategy,Easy,6.13,20,8,76,66,Low
P0000179,2025-03-14,2026-09-06,1148,1336.27,69.84,101.79,15012,27,Male,Europe,Action,Hard,16.3,32,14,82,56,Medium
P0000180,2026-05-11,2026-08-29,223,317.74,85.49,30.97,3393,31,Female,Africa,Action,Hard,17.1,3,12,60,45,Medium
P0000181,2025-06-11,2026-08-22,165,101.72,36.99,12.29,4653,40,Male,North America,Simulation,Medium,1.85,1,3,51,32,Low
P0000182,2026-07-03,2026-08-22,115,211.73,110.47,9.47,2680,30,Non-binary,Asia,RPG,Medium,27.62,1,15,63,34,Medium
P0000183,2024-06-23,2026-09-10,1788,1946.54,65.32,366.51,32262,24,Male,South America,RPG,Medium,16.33,45,15,81,33,Medium
P0000184,2024-08-24,2026-09-05,1857,2192.19,70.83,577.39,53970,38,Male,Oceania,Action,Medium,17.71,69,15,89,48,High
P0000185,2024-01-01,2026-09-06,982,1081.35,66.07,32.7,21683,32,Male,Europe,Action,Hard,8.81,18,8,83,61,Medium
P0000186,2025-03-28,2026-08-23,434,275.73,38.12,32.75,9162,42,Female,Africa,Strategy,Easy,3.81,7,6,56,41,Low
P0000187,2023-09-20,2026-08-28,492,472.73,57.65,92.96,4469,30,Male,Asia,RPG,Medium,3.84,8,4,64,33,Low
P0000188,2024-08-30,2026-08-29,1286,1598.5,74.58,487.4,30942,17,Male,Asia,Adventure,Medium,18.64,45,15,70,33,Medium
P0000189,2025-07-06,2026-08-21,968,1514.6,93.88,849.35,7823,16,Male,Asia,Simulation,Medium,29.73,37,19,88,42,High
P0000190,2025-10-05,2026-09-06,517,623.24,72.33,52.79,11928,43,Male,North America,Action,Easy,10.85,8,9,68,29,Low
P0000191,2023-11-06,2026-09-02,1423,2184.07,92.09,281.82,29953,44,Female,South America,Action,Medium,15.35,39,10,95,31,Medium
P0000192,2026-02-22,2026-09-08,355,604.33,102.14,183.57,5020,26,Female,Asia,Action,Medium,23.83,12,14,70,38,Medium
P0000193,2026-08-10,2026-08-19,20,36.44,109.33,0.0,318,25,Male,South America,Adventure,Hard,25.51,0,14,51,18,High
P0000194,2026-04-29,2026-09-02,366,458.54,75.17,83.99,7000,41,Female,South America,RPG,Hard,22.55,11,18,68,35,High
P0000195,2024-08-12,2026-09-07,2050,2686.18,78.62,666.8,18596,18,Male,Asia,Adventure,Medium,28.83,102,22,82,44,High
P0000196,2024-04-29,2026-08-21,2795,3637.69,78.09,361.15,39315,20,Female,North America,Strategy,Hard,28.63,122,22,91,63,High
P0000197,2025-02-23,2026-09-08,318,117.82,22.23,49.39,8618,34,Male,Europe,Sports,Medium,1.48,8,4,51,24,Low
P0000198,2025-06-17,2026-09-10,631,400.9,38.12,118.24,8249,24,Female,Oceania,Sports,Medium,5.72,13,9,65,33,Low
